genres,id,Place,vote_average,vote_count,Place,Name of City,Cat1,keywords
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 14, ""name"": ""Museums""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}]",19995,Ross Island,7.2,11800,Ross Island,Andaman & Nicobar Islands,Nature & Parks,one of my favourite island
"[{""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 14, ""name"": ""Museums""}, {""id"": 28, ""name"": ""Nature & Parks""}]",285,Barren Island Volcano,6.9,4500,Barren Island Volcano,Andaman & Nicobar Islands,Nature & Parks,best place to visit
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 80, ""name"": ""Beaches""}]",206647,Cellular Jail,6.3,4466,Cellular Jail,Andaman & Nicobar Islands,Sights & Landmarks,I never seen this type of jail in my whole life
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 80, ""name"": ""Beaches""}, {""id"": 18, ""name"": ""Islands""}, {""id"": 53, ""name"": ""Historic Sites""}]",49026,Radhanagar Beach,7.6,9106,Radhanagar Beach,Andaman & Nicobar Islands,Nature & Parks,beautiful beach
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}]",49529,Mahatma Gandhi Marine National Park,6.1,2124,Mahatma Gandhi Marine National Park,Andaman & Nicobar Islands,Nature & Parks,beautiful park
"[{""id"": 14, ""name"": ""Museums""}, {""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}]",559,Parrot Island,5.9,3576,Parrot Island,Andaman & Nicobar Islands,Nature & Parks,best place to visit
"[{""id"": 16, ""name"": ""Points of Interest & Landmarks""}, {""id"": 10751, ""name"": ""Parks""}]",38757,Makruzz,7.4,3330,Makruzz,Andaman & Nicobar Islands,Transportation,what a place amazing
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}]",99861,Jolly Buoy Island,7.3,6767,Jolly Buoy Island,Andaman & Nicobar Islands,Nature & Parks,gorgeous
"[{""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 14, ""name"": ""Museums""}, {""id"": 10751, ""name"": ""Parks""}]",767,Chidiya Tapu,7.4,5293,Chidiya Tapu,Andaman & Nicobar Islands,Nature & Parks,what a place amazing
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 14, ""name"": ""Museums""}]",209112,Elephant Beach,5.7,7004,Elephant Beach,Andaman & Nicobar Islands,Nature & Parks,most amazing place 
"[{""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 14, ""name"": ""Museums""}, {""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}]",1452,Howrah Bridge,5.4,1400,Howrah Bridge,Andaman & Nicobar Islands,Sights & Landmarks,I have to visit this place once more
"[{""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 53, ""name"": ""Historic Sites""}, {""id"": 80, ""name"": ""Beaches""}]",10764,Laxmanpur Beach,6.1,2965,Laxmanpur Beach,Andaman & Nicobar Islands,Nature & Parks,"A nice guy has just moved to New York and discovers that he must share his run-down apartment with a couple thousand singing, dancing cockroaches."
"[{""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 14, ""name"": ""Museums""}, {""id"": 28, ""name"": ""Nature & Parks""}]",58,Bharatpur Beach,7,5246,Bharatpur Beach,Andaman & Nicobar Islands,Nature & Parks,"After years of helping their hubbies climb the ladder of success, three mid-life Manhattanites have been dumped for a newer, curvier model. But the trio is determined to turn their pain into gain. They come up with a cleverly devious plan to hit their exes where it really hurts - in the wallet!"
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 37, ""name"": ""Farms""}]",57201,North Bay Island Andaman,5.9,2311,North Bay Island Andaman,Andaman & Nicobar Islands,Nature & Parks,A group of homosexual people try to live with dignity and self-respect while events build to the opening battle in the major gay rights movement.
"[{""id"": 28, ""name"": ""Nature & Parks""}, {""id"": 12, ""name"": ""Sights & Landmarks""}, {""id"": 14, ""name"": ""Museums""}, {""id"": 878, ""name"": ""Zoos & Aquariums""}]",49521,Samudrika Marine Museum,6.5,6359,Samudrika Marine Museum,Andaman & Nicobar Islands,Museums,"When a rich man's son is kidnapped, he cooperates with the police at first but then tries a unique tactic against the criminals."
